sensor_code,rf_importance,mutual_info,composite_score
Attribute 60,0.03378971979627762,0.018277293583225385,0.8443792257436483
Attribute 478,0.009326658614932534,0.03025573357373945,0.4322158522123324
Attribute 66,0.008197993832585907,0.028400537724148522,0.39417913551499
Attribute 34,0.008194707571468734,0.028019390492842522,0.39110023061601284
Attribute 289,0.004293689380382631,0.03797768028416537,0.38894961498316255
Attribute 429,0.00491358043832235,0.029957469423961935,0.3384368350915887
Attribute 154,0.006626042621654593,0.024782060178142995,0.3330303113545118
Attribute 342,0.012026132801621993,0.010009324541349063,0.32820512100709426
Attribute 65,0.00935937818748036,0.01686191558129524,0.32709086985536523
Attribute 248,0.010284235047039576,0.014062690753368301,0.3241384063368514
Attribute 42,0.003023929536105193,0.03262514195024546,0.3203630967082063
Attribute 520,0.008393915305571284,0.017520332110729342,0.3122910733593488
Attribute 131,0.006662942573153291,0.02191144017755997,0.3111186354953972
Attribute 427,0.007254413197134387,0.018704557697347468,0.29803938136719427
Attribute 444,0.004648617217717641,0.02410837821960632,0.2867435872723578
Attribute 127,0.005717308044856479,0.020677141171104862,0.28177833744471537
Attribute 461,0.013249457986185941,0.0005493350997070046,0.27881994645125574
Attribute 572,0.003117593008813617,0.02614162145651444,0.2710876926772812
Attribute 574,0.0047978201782864875,0.02134889123727457,0.2680363025464647
Attribute 41,0.0015082088787983176,0.0295467630874664,0.2646456078550532
Attribute 128,0.0036999855742533587,0.02347461799398176,0.262085081914016
Attribute 511,0.006742025026804591,0.015474289497623639,0.26190745844765184
Attribute 408,0.0013139989247910279,0.029410249434156377,0.2595439117676693
Attribute 291,0.00756452859465044,0.012921186810309626,0.25877881877464953
Attribute 104,0.00920785016582775,0.00842431836764046,0.2573000025858754
Attribute 130,0.005420908399617687,0.01800565025141343,0.2545349027552075
Attribute 542,0.0007767905304167413,0.030134345348286296,0.2541348156084925
Attribute 175,0.005989150024795886,0.016239741961115772,0.2523572261616034
Attribute 417,0.0025725046368953925,0.025012770640429283,0.2508782279739213
Attribute 571,0.001814332631436367,0.026674701332427553,0.24829988022265548
Attribute 469,0.006742216092387285,0.01368295640216366,0.24776100184486557
Attribute 311,0.002578971266767244,0.024445821983752225,0.24653365203891367
Attribute 123,0.0022994412953200585,0.025098009054328463,0.24589467981831437
Attribute 206,0.004305217734243918,0.018929499063550015,0.238719682983291
Attribute 173,0.004428573910441988,0.017797315411064663,0.23233162885671932
Attribute 446,0.007434903142701023,0.009034992727648516,0.22539494053921
Attribute 412,0.0015787321198245305,0.023844884319712545,0.221065304835034
Attribute 308,0.003875803565059308,0.01760506877468404,0.21936161079176097
Attribute 288,0.005879968517075209,0.012298760013403465,0.21896408205421788
Attribute 183,0.00366235702356363,0.017309021455521822,0.21260118612124979
Attribute 135,0.0029748218584293167,0.018999432607230693,0.21171115446202768
Attribute 29,0.003951193667148535,0.016247138762914837,0.21019661869134448
Attribute 310,0.0014412123743406354,0.022171756927082287,0.20499973285882495
Attribute 578,0.001029044228465155,0.023151915278404767,0.2042037491350402
Attribute 340,0.001885527735006484,0.02086677492208011,0.20389578547967857
Attribute 386,0.003075809003524594,0.01752304320591458,0.2021406845866798
Attribute 22,0.005232222455340341,0.01152194165778786,0.19940876068095215
Attribute 38,0.002154184709479241,0.01952351474772973,0.19885046205676216
Attribute 156,0.0031831992209299612,0.01666775481209548,0.19760917384437277
Attribute 153,0.00831236457017429,0.003051811813066241,0.1963093478930591
Attribute 270,0.0022222906432992785,0.018975879823446284,0.19593539457948456
Attribute 226,0.00125245876092779,0.02144700810496203,0.1953643811436226
Attribute 113,0.003163875171080743,0.016419256291054563,0.1952458664617523
Attribute 590,0.002406898043380702,0.01814848978131378,0.19322392237985359
Attribute 148,0.005424037858293948,0.010212181667685893,0.19303619017103285
Attribute 134,0.0022867723857695433,0.018224270024500555,0.19133397269196692
Attribute 540,0.002035287882814325,0.018781401807368425,0.19052512297531363
Attribute 448,0.0020603183043241702,0.018521555621355157,0.18899103931004557
Attribute 185,0.0028741462941434337,0.016322644694938493,0.18848056735698726
Attribute 92,0.004983421467200573,0.010732299468795503,0.1880168287875956
Attribute 391,0.004691842518031206,0.01145973841038228,0.18772268847775808
Attribute 468,0.0022039470788244543,0.01784487748524044,0.18662116925795336
Attribute 174,0.0022303786366990722,0.017647619916831614,0.1856105231010901
Attribute 442,0.0016552090397720562,0.019088251186143435,0.18507519164078448
Attribute 575,0.0018433447849423945,0.01847194520312745,0.18410424639126557
Attribute 278,0.0009341963895134811,0.02024461087484175,0.17927295470269622
Attribute 103,0.004128841516498717,0.011742210892497162,0.17829071356607085
Attribute 339,0.0019808866978222755,0.01724511016988739,0.1772623821879421
Attribute 449,0.0015582901611768923,0.018349472714165094,0.1772314958654804
Attribute 553,0.0034557218501468996,0.013285041001436015,0.17653352032947137
Attribute 426,0.004405477584011918,0.010715644836958749,0.17591237402733012
Attribute 332,0.0023678283769197543,0.015980369498338254,0.17528774241515355
Attribute 59,0.001984518058287197,0.016679272830294245,0.17286784850336812
Attribute 80,0.004619775732308496,0.009682762841702441,0.17219272772511912
Attribute 125,0.001708638702419034,0.01719117766877476,0.17119636156391094
Attribute 39,0.0017144989540290145,0.016836822749115132,0.1685185816758563
Attribute 178,0.0015316829405328913,0.017298937150275195,0.1683817150240487
Attribute 584,0.0012395011276914122,0.017911370153866457,0.16716661035472646
Attribute 301,0.0023599130159609504,0.014680930526124403,0.16485900710205478
Attribute 577,0.0019034047332247294,0.015755568143671628,0.16389078444747784
Attribute 276,0.000883679441434934,0.0183470807647248,0.16323712241793462
Attribute 129,0.0017423536239121167,0.0158477448942127,0.16128253055546102
Attribute 495,0.0013189584800926688,0.01683064389004585,0.1602756136836081
Attribute 1,0.005475457739384741,0.005847351809274759,0.15962198797332156
Attribute 240,0.002879933381486673,0.012501981614667201,0.15841959810430514
Attribute 455,0.003261089933806246,0.0115004269584853,0.15840411702092438
Attribute 166,0.0022655844888085173,0.014041353265821677,0.15785260171271673
Attribute 447,0.0017243274517737672,0.015297348666574395,0.1565613067873861
Attribute 7,0.0014919944575537928,0.015591758034404046,0.15407386331561293
Attribute 438,0.002152221925853663,0.01383705597623508,0.1538903208122717
Attribute 324,0.0018334412471925623,0.014558277643232476,0.1529835470877603
Attribute 90,0.0012441452031846298,0.016063517758840185,0.15266593667439146
Attribute 490,0.003071137157351183,0.011035625119570902,0.1507973421359287
Attribute 37,0.0015475410847487264,0.015022049829810591,0.150724247566219
Attribute 576,0.0015921322004909338,0.014762720885167502,0.14959947616914104
Attribute 83,0.0013650496023205716,0.01515028472881852,0.1479566640811785
Attribute 211,0.00328892778639411,0.00978356450924922,0.145418672893118
Attribute 56,0.002775463006736744,0.011107048533345099,0.14523625043101296
Attribute 496,0.0017808377979853169,0.01358914105623521,0.14423822019202226
Attribute 20,0.002624887551378541,0.011300862310238413,0.1436478831081219
Attribute 290,0.0012818235202657804,0.01480584485759362,0.14351166233465154
Attribute 443,0.00267957958708059,0.011132026590543687,0.14344720607147923
Attribute 40,0.002046264264932418,0.012732491359280118,0.14296989184397269
Attribute 139,0.0007581039106626162,0.016006949827028105,0.14215007887945202
Attribute 334,0.0048604752627552286,0.0052064125153123975,0.14181876870815607
Attribute 132,0.003227235791348696,0.009473698165717748,0.14169288836219288
Attribute 196,0.0009955024780402225,0.015253617135332576,0.1411172544101056
Attribute 349,0.004810094337201221,0.005246857563492968,0.14109454998493998
Attribute 133,0.0015432993265545123,0.013782347754811797,0.1408435001801867
Attribute 406,0.0016262401789706082,0.013368125978976853,0.1392896389239352
Attribute 71,0.001583116240388627,0.013474269013949991,0.1392347316967702
Attribute 181,0.002852478230794514,0.010108394557315936,0.13894298166187358
Attribute 85,0.0012309020975444537,0.014345381123135548,0.13881937934749158
Attribute 3,0.0011438664811378796,0.014496846952956277,0.1382128038200949
Attribute 171,0.00036022841369271814,0.016355229112010816,0.13665873608792437
Attribute 413,0.0020450994731780227,0.011663398613860565,0.13450059535294856
Attribute 228,0.0021911844579654838,0.011250534098544707,0.13426557218756138
Attribute 583,0.0024445658821377232,0.01053659556805897,0.13387504364990788
Attribute 4,0.0022290950506321473,0.011049261677900102,0.13346101501812516
Attribute 36,0.002263551339542991,0.010875533015350713,0.13280247576742138
Attribute 559,0.0010351708658680667,0.013974269270022655,0.13183298838788127
Attribute 418,0.002066693010608117,0.011224729414067935,0.13148272162427355
Attribute 223,0.001044542443618194,0.01382568016446073,0.1308533720588685
Attribute 309,0.0027262034149849635,0.009320143707650663,0.13010033677874777
Attribute 573,0.0018812288717346324,0.011524555525096902,0.13000901912782797
Attribute 589,0.0011742009161599784,0.013344491469375885,0.12973833292330633
Attribute 115,0.00036221118222440026,0.015167410107810753,0.12731678215527506
Attribute 563,0.002726881918139045,0.00882363144388143,0.1261922555227156
Attribute 445,0.00255310349555426,0.009269713581953054,0.12611596997354202
Attribute 213,0.0016187179542654728,0.011670778525621817,0.12572581900722613
Attribute 52,0.002313423343626997,0.009792443693372288,0.12527991168310515
Attribute 116,0.004229104675332301,0.00473996962698453,0.125054460268116
Attribute 138,0.0024857756024296777,0.009268951661208336,0.12471516240180949
Attribute 421,0.004597248825723429,0.0035864957084248417,0.12356934211128588
Attribute 25,0.0017415577628122844,0.011010704920364489,0.12305644269513118
Attribute 275,0.0019257811373529466,0.010388141929444261,0.1219550209051517
Attribute 33,0.00248457173142882,0.008803298889157984,0.12101185595272448
Attribute 367,0.0021258422092358584,0.009708722865158892,0.12073257101800644
Attribute 222,0.002367455248844943,0.008977189654358897,0.1199592573825432
Attribute 283,0.001601701193592638,0.010870241294320238,0.11904954857257627
Attribute 93,0.0013341658488258234,0.011440644992336768,0.1180130236947866
Attribute 172,0.002477232215851168,0.00828730453646176,0.11678377417614078
Attribute 544,0.0005406275426316896,0.013238276843897667,0.11577396949336562
Attribute 254,0.0012624519018162661,0.011215532319218902,0.11474912196210307
Attribute 204,0.0023191100032402766,0.00821752843739798,0.11295686980772333
Attribute 552,0.0016657306932171983,0.009738316593459695,0.11143450721221249
Attribute 16,0.0017654639082255639,0.009415886134193308,0.11095361676557323
